,Data Collection Sheet ,,,
,Source:- Kitchen ,,,
,5. Feedback,,,
,Sno.,Dish Name ,Rating (10),Feedback 
,1,Cabbage-Paneer Paratha ,9.5,Perfect 
,2,Aloo Sabzi And Roti  ,10,Satisfying
,3,Mix Veg and Roti ,9,Simple yet tasty
,,,,
,4,Beetroot Paratha ,9,Excellent Color and taste 
,5,Bittergourd Sabzi and Roti,9,Tasty 
,6,Tea and Fritters ,10,Perfect for tea time snack
,7,Palak Paneer And Roti ,9,Very tasty and nutritious
,,,,
,8,Methi Paratha ,8.5,Slightly bitter taste but tastes good 
,9,Curry Rice ,10,Flavourful and Creamy 
,10,Soya Granules Sabzi and Roti ,10,Very high in protein
